ID,exam_num,text,valence,intensity,score
10008,4,"When I viewed my most recent chemistry exam grade, I was with my lab partner. We were studying for the end of semester lab quiz in the library. And I knew that I was anticipating the chemistry exam grade. So I was like, nervous for that and then once it came out, um, I checked it and I was like, I was, I was really nervous and then I was like, I'm not going to tell my lab partner unless I get a good grade. And I looked at it and I was like, and I was happy with my grade and I told him and it was, and that was that, like, it was, it was, I was very happy. I was happy with my grade and then stand for that. I, yeah, I was just really happy with my grade. I, I like, I sure. But, yeah.",1,0.8,0.8
10011,1,"I was in my room, it was me alone. Um, I was doing homework and I got the message that my grade was out. I was feeling all right. A little nervous. Um, I got it and I was, it was all right. I got 85. Um, and that's it. I was just in my dorm. It was like a week ago, I think, like, pretty much a week ago. Uh.",0,0.3,0
10011,2,,0,0,0
10011,3,"I was in my room, I got a good score on it. I was happy. Um, I was just on my computer getting ready for a math quiz. I was feeling good.",1,0.6,0.6
10012,1,"When I checked my chemistry exam grade, I was in a friend dorm and it was two hours after the exam, uh grade got published. Um, I was, uh, I was practicing CALC from like my CALC exam and honestly, a after I saw my 100% I felt very much less stressed than I was and very much less anxious than I was. And I was definitely very happy to see that. I, I received the maximum grade possible considering a bunch of other people told me that they thought that the test didn't go well well for them. Um, so despite that I got 100 and I'm, I'm very happy for that still.",1,0.9,0.9
10012,2,"I was with one of my friends from high school who's a commuter here and um, how I was feeling before I checked, it was very disappointed in myself because I knew that I had got some questions wrong and I immediately noticed the mistake that I had done that would take off points. And my reason for this disappointment was because I was aiming for 100% and clearly a 93 is not 100%. But um, we, I was just walking to class and yeah, that's basically it.",-1,0.7,-0.7
10012,3,"What I remember when I checked my chemistry grade was I was walking to class after calculus with a friend. Um, and I was thinking, but I did really well, to be honest because like, for me it was like a pretty easy exam. Um, so I wasn't really surprised when I got 100. I had to check my, like, some, some questions that I remembered from the exam before I checked my grades. So I already knew that I, I was gonna get a good grade.",1,0.7,0.7
10012,4,"When I viewed my chemistry exam, I was on my way to my chemistry discussion class and what I was thinking, um was that I, I was basically hoping that I got 100% on the exam because no, that's just my goal with every exam. Um I was by myself, you know, just, I was pretty relaxed cause I know I did well. So.",1,0.5,0.5
10013,1,"Ok, basically. Ok. Who, um, I checked my exam grade. I think I was in my room. I was in my room. Uh, I think it was like 8 p.m. I just finished hanging out with my friends. I had avoided looking at it for most of the day. Um, and then, so there was like the background noise, I'm walking. Um, I, I think I was doing my work before and then I remember that I had to check my exam grade so I want to check it. Um, and I found out what it was and then I think I just stopped doing work for the rest of the day. I was kind of unmotivated. Mm. Kind of sad also. But it, like, pushed me. So now I'm planning to do more work and study for a long period of time. Um, but I guess it kind of changed my whole attitude but I was very disappointed in the moment. Um.",0.5,0.7,0.35
10013,2,"Um where was I gonna check my exam grade? I think I was in the, I think, I think I was in the bathroom um, of Coral on the eighth floor, which is where I live. I feel like I excuse me, I, I think that's where I checked it. I checked it and there I checked it in my room and then I went to the bathroom. Um, and then I left, I was really upset. Um I was not really upset. I was upset in the fact that I didn't do as well as it could have, but it also starts to like calm down and realize, ok, like you're right where the average is. And in class he was talking about how the average being, the average doesn't mean it's that bad, but I was also really stressed because I'm trying to go into pre med. Um, so it was like a mix of emotions. Um, uh I, and after that I went to talk to my friends. Um I was actually really sad and I started talking to them and they started to make me feel better when I was at. I basically thought like what the average is, is if other people got that and it was like, I feel like average then I shouldn't be as sad as before. Uh. Yeah.",0.5,0.7,0.35
10013,3,"Ok. The moment that I viewed my grade, I was really sad because I didn't think that I had done that. Well. Well, I didn't think I had done that well, but when I checked the grade it was confirmed, um, I kind of wanted to switch majors but I talked to my advisor about it. Um, I was, where was I, I think it was in the bathroom. I was on the eighth floor. Um, and then I was by myself, I checked by myself. Um, and then I walked out and I saw my friends and then they were telling me how it was fine how a lot of people did that on the exam. And then, um, I sort of started to feel better. It's becoming like the same routine, which with each exam is what I'm realizing. But I'm also seeking out more help now. Um, yeah, that's it.",0.5,0.6,0.3
10015,1,"When I got the text to open my score. Um I was heading back from my psychology class into um Coral Gables campus which was in flips. So I was in the bus um with some of my friends and um I was just on my phone when I opened the grade, I was very stressed to know my first the score of my first exam in chemistry as well as um my heart was beating really fast and I was super anxious and then when I saw the score um I got really cold hearted because did not expect the score that I got and um I got a little bit sad and um a little bit. No, I wasn't happy. So yeah, that's kind of affected my mood to the end of the day. Um Yeah.",-1,0.9,-0.9
10015,2,"I was very, very stressed when I was opening because my friend who was trying to open it as well. Next to me, she opened and saw her grid and she was surprised by the average. So it kind of scared me more and raised my anxiety. When I first saw the average, I felt a little bit of comfort because like I know the first part of the grade and then when I saw my score, I got very relieved because I did not expect it, but it was not bad. Oh Yeah. My heart was beating really fast and then it just all stopped and relieved. Yeah.",0.5,0.8,0.4
10015,4,"When I first opened the test score. Um I was in my chemistry lab and I was super stressed about it because, well, I wasn't as much stress as the ones before because I had a test at the same time and we were preparing for it. So my stress was all around. Um but not a not, not a lot of focus was given to the score as much as the test that I was planning to take.",-1,0.5,-0.5
10016,1,"Um, when I saw my test, I was on my way to class um to the math class which is pretty easy classroom. So I was like, this is fine, like if it's bad grade, good grade doesn't matter. And then I saw my grade. It was like right before, yeah, right before class and um I was alone, I wasn't with anyone but right after I saw my score, I texted my mom to tell her, um, what was I thinking? I was kind of nervous to see it but right when I saw it, I was like kind of relieved that it wasn't like bad but I know that um like I, I wanna do better for the next one. So moved on now for next test.",0.5,0.4,0.2
10016,2,"Um, when I received my most recent chem grade, I was, I was on a carpet and I was in the room, like, lying on the floor and opened it up. But I was kind of nervous. I think I was, I was supposed to go to class soon and then um I opened it, I was with my roommate and maybe somebody else. I don't remember. And our friend and then I was like, feeling kind of nervous. I didn't feel like I did that. Well, then when I opened it up I was like, oh, like I just did the same exact last time. So like it was fine. Like I wasn't like mad about it but like, obviously I want like an amazing grade but I know that's not gonna happen. And then um I just went on with my day. Um, and I know that I can keep studying kind of in the same way that I do. What? Studying.",0,0.3,0
10017,1,"When I received my chemistry exam grade, I was in the salon with a friend. Um I was cutting my hair, I was getting a haircut and I was pretty anxious about the result. However, I was kind of prepared to get a low grade because I know I didn't like know the material very well. But either way when I received the text that the grade was available and I opened and saw my grade. I was very disappointed and very frustrated, but now I um worked harder so I can hopefully do better in the in the next exam. And yeah.",-1,0.9,-0.9
10017,2,"When I saw my grade, I was leaving my college class and I was walking by myself to another class I had and I had to wait for about an hour because I received the message of that, that my grade was available during the class. So I had to wait until I was over with the class to view my grade. I was really nervous because I didn't know if I was going to get a good grade, even though I had a feeling that I did good in the exam and then I was very nervous. So I had to sit down um like calm myself for a while, like take deep breaths. And when once I was calm, I just got into the link that y'all sent me and just view my grading. Once I saw it was a really good grade, like a 93 which is an A I felt really, really relieved. Um I felt really good. I almost cried and then for the rest of the day, I felt awesome. And now I'm feeling more confident with um my capabilities and I'm hoping to do as good as last time on the next exam?",1,0.9,0.9
10018,2,"Um, I was walking towards another one of my classes when I saw the exam mode and, I mean, I, I'll be honest, I was kind of disappointed with it being a 70 but then I saw the class average which was like a 60 it made me feel a little bit better and then I was like, oh, my mom doesn't want me to compare my grades to other people's grades. So it was kind of like a mix, like, slightly satisfied that at least I wasn't the worst, but also, like, relatively decent that I was numb. Yeah. I don't know. It was, it was just kind of like a shot Android, I guess. But, yeah.",0.5,0.4,0.2
10018,3,"In general, I guess I felt pretty bad about it. Was it a grade that I felt comfortable looking at? I know it was a little disheartening because it was also the one that I had studied with most for. So it was like the one that really bothered me, I guess.",-1,0.7,-0.7
10018,4,"Yeah, I was pretty happy because I did better than I thought I would.",1,0.7,0.7
10019,1,"I was in the dining hall with two of my friends. Um, I was eating, I was feeling pretty bad about it because I didn't do as well as I thought I did and I don't know, I did not like my grade. I think I'll do better next time.",-1,0.6,-0.6
10019,3,That you report your towel.,0,0,0
10019,4,I feel good about my grade. I'm glad I was above the average.,1,0.7,0.7
10020,1,"Um, when I open my chemistry grade I was just walking back to my dorm. I was alone. Um, you know, I was just like, oh, man, no way. I got the grade and I just opened it. I was like, oh, awesome. In 85? That's cool. Um, I wasn't really with nobody and, um, I was just walking back to my dorm. It's just pretty, um, regular. Like, I didn't, I didn't think it was that crazy. Yeah.",0.5,0.4,0.2
10020,2,"When I viewed my chemistry exam, um, I, I was sitting in the room, my dorm room doing nothing. I got a text to view it and I was pretty nervous because my roommate didn't get the best grade, but I was still confident that I did well and then when I opened it and I saw the high score, I was pretty happy. Um, you know, I think it was 8888 is pretty good and I was pretty happy with that, especially compared to the class average. So, yeah.",1,0.7,0.7
10020,4,"When I received my chemistry grade, I was with my roommate and, um, I was like pretty upset cause it was definitely a low grade lower than I expected, but I wasn't that upset. I wasn't that distraught cuz um, I think my average wasn't and that low. Um, and I just was that upset in general I had it. Yeah.",-1,0.4,-0.4
10021,1,"I was in my room, my dorm waiting for the grade to come out. Um I was by myself, I was just taking some downtime in between classes and kind of scrolling on my phone and receiving the text from the study team saying, you know, like 15 minute countdown or the countdown. I was thinking that I felt pretty confident about the test and I was hoping that that would reflect in the grade and I was feeling anxious but also excited to receive the grade because it would help me gauge how much studying I need to do for the class. And um I was feeling and thinking about the exam itself and reflecting on some questions that I had some issues with. Um Yeah.",0.5,0.6,0.3
10022,1,"Um I was in my dorm room alone. It was, I think of, I can't remember what day, but it was in the afternoon. Um I had just gotten off the phone with my mom. I knew it wasn't gonna be a great score just like off the like off what I knew coming out of the classroom and how I was feeling that week about like the content and I was super, super sick also. So, yeah, that was about it.",-1,0.6,-0.6
10022,2,"I was with friends. Um I was just thinking how I wish I could have done better and that was really it. I felt a little bit more confident about this than the other test one, so just disappointed.",-1,0.5,-0.5
10023,1,"When I viewed my chemistry exam, it was last Tuesday and I was in my sociology class and I got the notification at the moment. Like I got it. I was kind of scared to look and I didn't wanna look, but once I opened it up, I seen, I got like, ac and I was ok with that, um, because I thought I did were way worse. So I was ok that I, like, I was glad that I had a passing grade and I was just relieved that, like, I finally knew that, like, I was just like, I just came to peace with the situation.",0.5,0.4,0.2
10024,1,"So when I got the text that like my exam grade was released, I was in my room sitting at my desk and that's where I'm sitting right now. Um when I was alone and my Wi Fi wasn't working. Um So and I had been doing work before too. I was just like tired and whatever. Um but I like my wifi wasn't working so I couldn't open the link to see my grade and after like 20 minutes of trying to get it to load, I was just like, so like angry, like I just got like really frustrated and then I like went outside and like stood outside my apartment building and there I was able to open it because there's no service in my building. I only have to use like I have to use Wi Fi. Um So I had to go outside to get some service but I was like having a meltdown mostly over the Wi Fi and I was just so angry that I couldn't see it. I couldn't see my grade. Um But yeah, and then afterwards I went for a walk and I felt better but like, I wasn't really stressed about my grade. Um, I was just like, already in a bad mood and then I was kind of like me about my grade because it wasn't like, as good as I was expecting, but it wasn't bad. Like I'm not unhappy with it. So it was kind of like, oh, ok. Me and so then I was still kind of cranky.",0.5,0.7,0.35
10024,3,"Um, honestly I don't really remember where I was or what I was doing. Actually. No idea. Um, it was like I was about to go to dinner with my dad and, yeah, I think that's about it.",0,0,0
10025,2,"I was in my room in my bed watching the show and I got a text. I was ready. I opened it and I was disappointed. But then again, I'm feeling all right now. Back then. I was pretty sad.",0.5,0.6,0.3
10026,1,"When I viewed my most recent chemistry exam grade, I was sitting on like the terrace of Shalala um working on homework and I was by myself. Um This was as soon as they were released, I was working on homework, studying for another class and I was very happy with my score. So I was thinking that this was what I was expecting and considering like the time and effort I put into studying, I feel like my score was reserved well deserved.",1,0.8,0.8
10026,2,"When I saw my most recent chemistry exam grade, I was in first year writing class. Um and I was with all the people in my class. Um The classroom is in Mahoney Pearson classroom. And bef when I opened it, um we were working on an individual assignment, but I was able to take a break to look at it. And before I opened it, I was feeling pretty nervous. But once I saw my grade, I was pretty confident and knowing that I got an A made me feel better.",1,0.7,0.7
10028,2,"Um I viewed my most recent um chem exam grade right after my math class. I was in my dorm. I was with my roommate. Um I honestly, this sounds so silly, but I did better than I expected. And so I was just like, wow, I mean, I still failed but I mean, I didn't really care. I was just happy I did better than I expected. Um And I'm pretty sure I got all of the multiple choice. Right. Or at least I think I did because that's all I did. I didn't put like a single answer down for any of the written responses. I don't know if I said this already. But while I was taking the exam, I thought I had like 40 minutes left. And as soon as I finished the multiple choice, I felt really confident in it and I knew how to do it all. And I studied really hard and I understood it and I go to do to start the written responses and I hear doctor connect say that we had 10 minutes left. So I kind of knew I failed at that point. So I'm kind of indifferent about this exam. Um, I'm actually currently studying right now for the next exam and I'm doing my ML OS. Um, I'm feeling really good. It's just a lot of math and it's a lot of, like, remembering what is, where and making sure I'm typing things into the calculator. Right. So, yeah.",0.5,0.4,0.2
10028,4,"Um, I was in my dorm when I viewed my most recent chemistry exam. I had also just finished a math exam, so I was just not in the best mood and I was also feeling a little sick when I took the exam and I was still sick by the time scores came out. So I was just not in the best head space but, you know, it's ok. It was just, I was alone so I didn't get to talk to anybody either. Which kind of sucked. But I was just a little upset because I really hope that I can actually pass chemistry. So, yeah.",-1,0.5,-0.5
10030,2,"I was in my room, uh, and I basically checked the grade. Uh, and the first thing that came to my mind is that the hard work that I put in didn't, uh come with the result. So I felt very empty.",-1,0.7,-0.7
10032,2,"Uh when I first viewed the grade, I was pretty happy just because I was able to increase my score. And um that's all I was really hoping for. Obviously, it could have been a better result, but I also compare myself to the average, which was good.",0.5,0.6,0.3
10033,1,"When I opened my most recent chemistry exam grade, I was sitting in my bed after a nap and I was with my roommate and I was nervous about it, especially when I saw the class average and then I realized that it was just the class average. So then I clicked to the next page and then I was like questioning my own grade because I saw what the class average was. But then I finally got to the page with my grade and I saw it and then I was excited and yeah.",1,0.7,0.7
10033,2,"I viewed my last most recent chemistry exam last Wednesday at 350 when I got the text that it was up and I was, I was in the dining hall um by myself eating and yeah, I was nervous to see what it would be and then I was disappointed to see the result initially.",-1,0.7,-0.7
10033,3,"I opened my exam when I was walking into my dorm room after, um, my calc class last Wednesday. And I remember being excited because I had studied really hard for this one and only thought I had gotten or I knew I'd gotten one wrong. And I, that's the only when I could, like, remember getting wrong, even though I was disappointed about missing the extra credit of point. And then when I opened and saw my score, I was like disappointed because I knew it meant I had gotten probably another multiple choice wrong and at least something else. Um, but overall, like, I didn't do bad, I just was disappointed because I felt like I really knew the material well, but like only getting like one little mistake or two little mistakes and they drop a agree that much. But yeah, I was by myself and yeah, it was pretty much it.",0.5,0.6,0.3
10034,1,"Ok. When I received my chem exam grade, I was in my house in my bed, I was doing nothing. And when I went to go check my score, I was very happy. I was feeling satisfied with the grade I got and it was what I was expecting.",1,0.8,0.8
10035,2,"When I first saw my exam grade, I was really disappointed, but being slightly below the average was very disappointing. I was by myself in my room when I first looked at the grade and then my roommate came back and she asked what was wrong. And, you know, I explained that I worked really hard for this and that I was disappointed in my grade, but it's ok. And then afterwards we went to the dining hall and got food, there, ate a little pick me up, went on a walk, came back and studied for the other exams that I had to take that week. You know, it's disappointing, but I was disappointed but it is what it is and I couldn't really do much about it.",-1,0.7,-0.7
10035,4,"When I last viewed my chemistry grade on the most recent exam. I was with my friend Danny and my friend Zach, both of who I studied with for the exam. Oh, I was super excited and I squealed. Um I opened it shortly after the um grades came out or I got the notification that I could look at it. I opened it shortly thereafter. We were in a centennial village dorm. Um We were just kind of hanging out and then I was just super excited. I celebrated with Danny like we both squealed. We're super, super excited um because we put a lot of time effort and energy into studying for the exam. Um Yeah, just super excited, super relieved. I honestly like couldn't even believe it. I had to like reopen my score like four times before I like believed that that was actually the grade I got but just super excited. Super relieved, super happy.",1,1,1
10036,1,"So when I first opened the test, um test grade, I was in my microbiology class and this was around 3 p.m. and I was with my friend and she tells me, oh, the scores are released and I'm excited that to see my score because I studied really hard. Um, when I opened it, I was, I saw like a 50 a 50 something like a 56. And I was like, oh my God, like this is so embarrassing and humbling because I opened it in front of her and she had gotten like a 90 something and I had gotten a 50 something and I was like, oh my God, I did so bad. But, um, I didn't know why I did so bad because I studied with her. So it was like, I got a 50 she got a 90 I just, I felt very embarrassed but I didn't have time to process it much because I had to move on to my next lecture. So I kind of just forgot about it. And I told myself to try better again for the next exam.",-1,0.7,-0.7
10037,2,"For my recent chem exam. I was very satisfied. I was actually alone in my room waiting for the result because the survey kept sending me text message updates about when the test result would come out. I was very anxious and when I saw the class average was to 60 I was very scared to see my score. But when I saw that I received the 94 I was jumping up and down. I was really happy and really excited and really thankful that I did really well and very proud of myself. Um I ran into my suite mate's room and let her know and she was very happy for me and yeah, I'm going to continue to strive to do the same on my next three tests.",1,0.9,0.9
10037,4,"When I received my score, I was in my dorm room by myself and I texted my friend and my boyfriend and I got a really good score and I felt really happy and proud that I did so well, even though I expected above a 90 but it was very nice to have received a 93.8 on the exam. And I'm definitely going to strive to do better on the next one.",1,0.9,0.9
10038,1,"Um, I think I was walking back from my chemistry discussion when I viewed it but I remember viewing it and like, it was kind of scary because you're going through so many steps and you thought like, the next step was like, oh, like I'm gonna see it. Oh, I'm gonna see it. And then, like I saw the average and I was like, oh my God. Like, because at first I thought it was my score. So I was like, oh, crap. But then, um, I realized it wasn't. So then I went to the next page and I was by myself. I think I was walking and then I saw it and I was like, oh, ok, like, not bad. I kind of like, was thinking myself like, oh, like, I wonder, like, what I got wrong? Like, what points did I miss? Because I felt pretty confident coming out of it. Uh, yeah.",0.5,0.4,0.2
10038,2,"Um, when I viewed it, I was in the study room and centennial, um, working on my homework and I was with one other person and, um, I was really happy about the square call. I don't know. I thought I did a lot worse and, um, it was like, right when it was sent it out. So whenever that text was sent, um, I viewed it, I was super happy. Oh, yeah.",1,0.9,0.9
10038,3,"Hi. Um ok, so when I was viewing my chemistry grade, I was in the dining hall with my friend addie and I was eating food and I opened the text right when I got it. So I got 330 yeah, I remember feeling kind of like, oh, ok, like not bad, like better than I thought I was gonna do. Um but also not like the happiest cause I was like, I kind of wanted to do a little better but I felt ok.",0.5,0.4,0.2
10038,4,Um I was at my pie in the face Competition and I found out I was saying this to my friend Eddie and that's when I was happy and really grateful and very thankful that that was my score. And yeah.,1,0.9,0.9
10039,1,"Before I got my exam, I was really nervous and scared for what it would be. Um, and then as soon as I opened it and saw my score, I felt very relieved. Um, I know it wasn't the score. I thought I, I did better than I thought I would. Um, but I would still like to do better on these exams in general, but I was pleased with my score because I didn't know how it was gonna go. Yeah.",0.5,0.7,0.35
10039,2,"When I saw my last chemistry exam, I was in my room alone. It was the afternoon after all my classes. Um I was just doing some homework and relaxing. Um, before I saw, I was definitely very nervous because I didn't really know how I did or what not. Um Yeah, after getting the tactics that the scores would be released, I definitely got more nervous and as the time was building up till my exam score was released, I was getting more nervous, but once I saw it, I was relieved and felt a lot better.",0.5,0.7,0.35
10039,3,"When I saw my last chem exam, I was in my room doing some homework. Um It was later in the day around 4 p.m. I was alone. Um I was nervous to see what I got because I didn't think I do did that well, but then as when I opened it, um I was actually very surprised because I did a lot better than I thought I was gonna do and I was very relieved to see that score.",1,0.8,0.8
10040,1,"Well, I was walking back from my lab back to my dorm room and I was like, ok, I should probably sit, prepare myself a little. So I sat on a bench and I opened it up and I was like, whoa, that's not good. No, no, no, no, no. Well, now it's funny like a week ago I was bawling my eyes out but now I'm just like moving on. Living life. PV equals N RT. You know, that's the new stuff to move on to who cares about whatever the f whatever was on the other test PV. Equals on RT gas laws. That's what I know today. Um Who were you with? I was by myself. Uh, what were you doing? I was just walking back from the lab. What was I feeling? Sadness, despair, tr tragedy. Um Loki scared. I'm gonna lose my scholarship here and have to go to community college back home. Don't wanna do that. That would be bad. Oh yeah. That's about it. I'm live life loving right now. I just went to chem tutoring feeling pretty good. I'm a, you know, studying a good amount of days in advance. We're living loving life, not a week ago, but today is a better day.",0.5,0.7,0.35
10044,1,"Uh, I was in Santana watching the Trump and Kamala Harris debate. So I wasn't really pay much attention to my grade. It was during the night I was with my friends. Uh, I was disappointed because I think I'm pretty good at science but, um, I regretted not studying. That's what I was mostly thinking, but it didn't really pay much attention to it because I know one of the tests is dropped off. So it's not that I don't care, but I, I wasn't doing so bad.",0.5,0.4,0.2
10045,2,"I mean, um, when I got my chemistry exam grade, I was like, at the gym and I, like, low key, forgot that we were going to get it. And then I picked up my phone and I was like, uh, oh, so I opened it at the gym and the grade was, like, lower than what I wanted. But, like, it's fine, I guess.",0.5,0.4,0.2
10045,3,"Um I forget where exactly I was but I'm pretty sure I was like, doing like homework outside, probably che homework. Um But yeah, I was like by myself and I like, got my score and I was like, oh, because I like thought I did good after the tests. Like I knew that the MCQ was kind of hard. So I was like, uh oh, like hopefully didn't ruin my score too much, but it did because I did like looking back at um my grade, I like did really good on all of the, like the medium question, the long question. It was just the MC Q that fucked me up because I got like three wrong. Um But yeah, and I was like mad because I was like, oh I thought I did better but it's whatever.",-1,0.5,-0.5
10046,1,"Um I got my chemistry exam score. Um I believe it was last week. Um I was in my, I was in the suite with like a bunch of my friends and then we kind of like most of us are part of the study. So we were just like waiting to like see it together and um when I saw it, I was pretty excited because I did not think that I was going to do as well. So I felt really good about my score. Now, I'm just a little worried about my next exam but you know, keep it pushing. Yeah.",0.5,0.7,0.35
10046,2,"So the moment that I, that I looked at my chemistry exam score, I was in the suite like the U CS commuter suite. Um my friend had already received their score. So I was kind of like bummed out. I was really hoping that I did good. Um I wasn't, I was honestly waiting for the score to get released because we had the countdown. So I was just kind of waiting literally counting the minutes to get my score. I thought I was gonna do really, really bad, but the moment I opened it, I felt honestly really good about my score. Like I did not think I was gonna pass whatsoever. So to know that I did above average was like really good.",0.5,0.7,0.35
10046,3,"Um when I saw my score for my exam, I felt really disappointed I was with my friend, my friend was the one that saw it first and he told me what I got because I didn't see it. Um And I thought I was going to do way better than I did after I saw the average, I was like, wow, it's really low in comparison to the other one. So I knew that it was not going to be like as good of a grade as I did in the first one. But then I was like, I'm going to start with the six. Like I knew that I was already like a little on the lower side. Um Honestly, I felt really disappointed like when I saw my score but it's still above average. So it's not too bad. I just really need to do better for the next one. So I wanna like have a good grade for my class. So yeah. Um not good overall.",-1,0.7,-0.7
10046,4,"When I got my most recent, um, chemistry exam grade, it was my friend and I couldn't get it because I was putting the wrong number. I didn't realize I had put my phone number wrong. Um, so I was a little, like, scared but I got it figured out and then when I looked on my score it didn't feel really good. Um, I knew that I hadn't done as good as I thought I was, but I didn't expect to have such a low grade, um, below like the curve. Um, I didn't really feel good about it but I did know that that was possibly going to be my job and it is and I'm ok with that, but I just really have to study for my, um, final exam so that I can have an overall great exam score. Um, yeah.",-1,0.5,-0.5
10047,1,"Well, I actually couldn't take the exam because I was super sick. So I didn't take the exam, um, which was a zero. fortunately the lowest grade is dropped. So this is gonna be my dropped grade.",0.5,0.6,0.3
10048,1,"I was in the nail salon getting my nails done and I got the text message and I was feeling very uh anxious and disappointed and upset. So then I texted my parents and told them and they were very supportive, but they obviously want me to do better. So I don't know. I am, I have been studying a lot for this next exam on Friday. So I'm hoping that will pay off.",-1,0.7,-0.7
10049,1,I was outside of lab about to walk in. I viewed it. I felt pretty good. And then I called my parents to let them know what I got. And then I went into lab. That's what I did.,1,0.4,0.4
10049,2,"I was slightly surprised because so many people had said they thought they failed it and I felt pretty confident. But after hearing everyone else's reactions, I thought that maybe mine would be the same. But I was very relieved and excited to see the grade and I was very confident in the fact that, like I had done most of things. Right. But I knew I didn't get 100%.",0.5,0.7,0.35
10049,4,I felt very good and very relieved and very motivated and relaxed.,1,0.9,0.9
10050,2,"Um, I'm still pretty annoyed by it. Um, I just found out that I could look and see, like, what exactly I did wrong and just knowing I did a lot better on the written out que like, the long medium questions than I thought I would. It was mostly the, um, multiple choice that, like, went poorly, which is really, really frustrating because I don't know, I also can't, I am not aware if I'm able to, like, see the, uh, multiple choice, like, correct answers and like, what I did wrong for those, but it's just really, that's really frustrating but honestly, like, it's fine. Uh, it's a little scary that I used my, uh, test job now that I don't have that, like, comfort through the rest of the year. But I've also heard a lot of other people say the same. So, yeah, that's about, that's about it.",0.5,0.6,0.3
10050,3,"Um, I'm still really upset about it but, like, there's really nothing I can do at this point. And honestly has me, like, in a little bit of a panic because now I'm worried I won't be able to end the class someday. So, I don't know. Maybe it's a little more motivating to study. I like everyone studying a lot and it's a little unmotivated at the same time because I've been studying so much and I'm still not doing what I wanna be doing on the test and so I don't really know what's going on there. Oh, yeah. Yeah. So a little stressed by litter, I mean, a lot, but it'll all work out in the end, hopefully.",0.5,0.7,0.35
